,desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
10,447508202300765,http://www.animal.go.kr/files/shelter/2023/05/202306281106775_s.jpg,20230628,봉곡동 426-7,[개] 시츄,흑 갈색,2013(년생),2.2(Kg),경북-구미-2023-00250,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106775.jpg,종료(반환),F,U,온순하고 잘따름,구미시 동물보호센터,054-471-5718,경상북도 구미시 해평면 낙동대로 2206  ,경상북도 구미시,백창훈,054-480-5844
11,447505202300654,http://www.animal.go.kr/files/shelter/2023/05/202306281406367[1]_s.jpg,20230628,경주시 건천읍 천포방내길 18 부근 ,[고양이] 한국 고양이,삼색이 ,2023(년생),0.42(Kg),경북-경주-2023-00653,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406367[1].jpg,보호중,F,N,뒷다리 부상. 기력 없음. 예후 안좋음 ,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,경주시,054-760-2883
12,447505202300653,http://www.animal.go.kr/files/shelter/2023/05/202306281106660_s.jpg,20230628,경주 남산동 920-1 부근,[개] 진도견,흰색,2020(년생),20(Kg),경북-경주-2023-00652,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106660.jpg,보호중,M,N,발견당시 진드기가상당히보임 성격이까칠하여 다가가기힘듦,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,경주시,054-760-2883
13,447505202300652,http://www.animal.go.kr/files/shelter/2023/05/202306281106461_s.jpg,20230628,경주시 충효중앙길67 부근 ,[고양이] 한국 고양이,삼색이 ,2023(년생),0.7(Kg),경북-경주-2023-00651,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106461.jpg,보호중,F,N,뒷다리 이상있음. 기운 없는 듯 보임. ,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,경주시,054-760-2883
14,447505202300651,http://www.animal.go.kr/files/shelter/2023/05/202306281306880[1]_s.jpg,20230628,경주시 현곡면 금장5길 34 부근 ,[개] 믹스견,갈색 ,2019(년생),9(Kg),경북-경주-2023-00650,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306880[1].jpg,보호중,F,U,해맑은 미소의 귀염상 댕댕이. 매력적인 귀털이 포인트!,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,경주시,054-760-2883
15,446496202300255,http://www.animal.go.kr/files/shelter/2023/05/202306280606114_s.jpg,20230628,엄다면 수호리송정마을회관,[개] 믹스견,흰색,2022(년생),4.00(Kg),전남-함평-2023-00253,20230628,20230712,http://www.animal.go.kr/files/shelter/2023/05/202306280606114.jpg,보호중,M,U,순함,학교동물임시보호센터,010-5649-3435,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,전라남도 함평군,함평군,061-320-1936
16,446496202300254,http://www.animal.go.kr/files/shelter/2023/05/202306280606500_s.jpg,20230628,대동면 매동길 134-15,[개] 믹스견,흰색,2022(년생),8.00(Kg),전남-함평-2023-00252,20230628,20230712,http://www.animal.go.kr/files/shelter/2023/05/202306280606500.jpg,보호중,F,U,순함,학교동물임시보호센터,010-5649-3435,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,전라남도 함평군,함평군,061-320-1936
17,446486202300119,http://www.animal.go.kr/files/shelter/2023/05/202306281306424_s.jpg,20230628,목사동면,[개] 믹스견,흰검색,2021(년생),8(Kg),전남-곡성-2023-00090,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306424.jpg,보호중,F,U,배 쪽으로 털이 많이 없고 마른 상태,푸른곡성21동물보호소,061-360-8372,전라남도 곡성군 곡성읍 군청로 50  보호소 주소 : 전남 곡성군 곡성읍 구원리 888,전라남도 곡성군,곡성군,061-360-8372
18,446486202300118,http://www.animal.go.kr/files/shelter/2023/05/202306281306941_s.jpg,20230628,곡성읍,[개] 믹스견,흰색,2021(년생),10(Kg),전남-곡성-2023-00089,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306941.jpg,종료(반환),M,Y,주인반환예정,푸른곡성21동물보호소,061-360-8372,전라남도 곡성군 곡성읍 군청로 50  보호소 주소 : 전남 곡성군 곡성읍 구원리 888,전라남도 곡성군,곡성군,061-360-8372
19,446482202300583,http://www.animal.go.kr/files/shelter/2023/05/202306281306378_s.jpg,20230628,연향소방서,[개] 웰시 코기 카디건,흰갈색,2020(년생),15.2(Kg),전남-순천-2023-00386,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306378.jpg,보호중,F,N,"종합백신접종,코로나장염접종,광견병접종,데피니트,스팟라인,사상충-음성",순천시유기동물보호소,061-749-8793,"전라남도 순천시 승주읍 승주로 628 (승주읍, 농업기술센터) 순천시유기동물보호소",전라남도 순천시,순천시,061-749-3094
20,446481202300345,http://www.animal.go.kr/files/shelter/2023/05/202306281406488[1]_s.jpg,20230628,둔덕2길 6-3,[개] 포메라니안,아이보리색,2018(년생),4.9(Kg),전남-여수-2023-00329,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406488[1].jpg,보호중,M,N,노견 추정. 견주 확인 됨.,유기동물보호소,061-659-2474,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",전라남도 여수시,반려동물팀,061-659-2474
21,445464202302418,http://www.animal.go.kr/files/shelter/2023/05/202306281306581_s.jpg,20230628,서부119 안전센터,[개] 웰시 코기 펨브로크,황색,2018(년생),18(Kg),전북-전주-2023-00866,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306281306581.jpg,종료(반환),F,N,내장칩있음,효자동물병원,063-224-6672,전라북도 전주시 완산구 백제대로 121 (효자동1가) ,전라북도 전주시,김민석,063-281-5277
22,445464202302417,http://www.animal.go.kr/files/shelter/2023/05/202306281006516_s.jpg,20230628,고덕1길18,[고양이] 한국 고양이,치즈색,2023(60일미만)(년생),0.8(Kg),전북-전주-2023-00865,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306281006516.jpg,보호중,M,N,비맞고 울고있슴,동부동물병원,063-231-2455,전라북도 전주시 완산구 경원동1가 3-10,전라북도 전주시,김민석,063-281-5277
23,445464202302416,http://www.animal.go.kr/files/shelter/2023/05/202306281006800_s.jpg,20230628,맥도날드덕진점주차장,[개] 시츄,흰색갈색,2013(년생),6(Kg),전북-전주-2023-00864,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306281006800.jpg,보호중,M,Y,얼굴쪽 예민하고 착색됨,동부동물병원,063-231-2455,전라북도 전주시 완산구 경원동1가 3-10,전라북도 전주시,김민석,063-281-5277
24,445464202302415,http://www.animal.go.kr/files/shelter/2023/05/202306281006826_s.jpg,20230628,서신성원아파트주차장,[개] 토이 푸들,살구색,2012(년생),5(Kg),전북-전주-2023-00863,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306281006826.jpg,종료(반환),M,Y,온순함,동부동물병원,063-231-2455,전라북도 전주시 완산구 경원동1가 3-10,전라북도 전주시,김민석,063-281-5277
25,444568202300556,http://www.animal.go.kr/files/shelter/2023/05/202306281106498_s.jpg,20230628,당진시 송산면 송산로 911,[개] 포메라니안,흰색,2022(년생),4.00(Kg),충남-당진-2023-00271,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306281106498.jpg,보호중,F,U,"겁이많음,털 약간 엉켜있음",당진시동물보호소,041-356-8210,충청남도 당진시 고대면 연동로 30-6 (고대면) ,충청남도 당진시,당진시,041-350-4232
26,444458202300283,http://www.animal.go.kr/files/shelter/2023/05/202306281406641_s.jpg,20230628,충청남도 서천군 마서면 마서로 608,[개] 믹스견,황색,2019(년생),7(Kg),충남-서천-2023-00102,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406641.jpg,보호중,F,N,마서면 동네 배회로 신고된 황색 암컷 단모견,서천군유기동물보호소,041-950-4390,충청남도 서천군 마산면 한마로 1189-19 ,충청남도 서천군,서천군,041-950-4390
27,444458202300282,http://www.animal.go.kr/files/shelter/2023/05/202306281406761_s.jpg,20230628,충청남도 서천군 마서면 마서로 608,[개] 믹스견,검갈색,2019(년생),7(Kg),충남-서천-2023-00101,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406761.jpg,보호중,F,N,마서면 동네 배회로 신고된 검갈색 암컷 단모견,서천군유기동물보호소,041-950-4390,충청남도 서천군 마산면 한마로 1189-19 ,충청남도 서천군,서천군,041-950-4390
28,444458202300281,http://www.animal.go.kr/files/shelter/2023/05/202306281406267_s.jpg,20230628,충청남도 서천군 마서면 마서로 608,[개] 믹스견,흰색,2019(년생),10(Kg),충남-서천-2023-00100,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406267.jpg,보호중,M,N,마서면 동네 배회로 신고된 흰색 수컷 단모견,서천군유기동물보호소,041-950-4390,충청남도 서천군 마산면 한마로 1189-19 ,충청남도 서천군,서천군,041-950-4390
29,444449202301491,http://www.animal.go.kr/files/shelter/2023/05/202306281106747_s.jpg,20230628,동남구 신부동 오션수영장,[개] 믹스견,검정,2023(년생),4(Kg),충남-천안-2023-00758,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106747.jpg,보호중,F,U,"3개월 추정, 교통사고 추정(찰과상)",천안시유기동물보호소,010-5913-5119,"충청남도 천안시 동남구 충절로 437 (삼룡동) 문의전화 : 입양(010-5913-5119), 구조(010-4999-6119)",충청남도 천안시,축산과,041-521-5735
30,443571202301816,http://www.animal.go.kr/files/shelter/2023/05/202306281406159_s.jpg,20230628,궁현1길 8-2,[고양이] 한국 고양이,치즈,2023(년생),0.5(Kg),충북-청주-2023-00618,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406159.jpg,보호중,M,N,좌측 어깨 부위 상처,반려동물보호센터,043-201-2298,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면) ,충청북도 청주시,정동복,043-201-2296
31,442430202300091,http://www.animal.go.kr/files/shelter/2023/05/202306281006457[1]_s.jpg,20230628,서면 와수리,[개] 믹스견,흰색+갈색,2021(년생),4(Kg),강원-철원-2023-00091,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281006457[1].jpg,보호중,F,U,낯을 가리나 공격성 없고 사람을 잘 따름,철원군,033-450-5394,강원도 철원군 동송읍 장흥로 311  ,강원특별자치도 철원군,철원군 동물방역계,033-450-5394
32,442425202300362,http://www.animal.go.kr/files/shelter/2023/05/202306281306508_s.jpg,20230628,영귀미면 공작산로 1321-8,[개] 믹스견,블랙,2023(60일미만)(년생),4(Kg),강원-홍천-2023-00207,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306508.jpg,보호중,M,N,아기강아지임. ,홍천군유기동물보호소,033-434-9435,"강원도 홍천군 화촌면 둔덕이길 68 (화촌면, 홍천군유기동물보호센터) ",강원특별자치도 홍천군,홍천군,033-430-2741
33,442425202300361,http://www.animal.go.kr/files/shelter/2023/05/202306281306921_s.jpg,20230628,영귀미면 공작산로 1321-8,[개] 믹스견,검정&화이트,2023(60일미만)(년생),4(Kg),강원-홍천-2023-00206,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306921.jpg,보호중,M,N,아기강아지임. ,홍천군유기동물보호소,033-434-9435,"강원도 홍천군 화촌면 둔덕이길 68 (화촌면, 홍천군유기동물보호센터) ",강원특별자치도 홍천군,홍천군,033-430-2741
34,442420202300378,http://www.animal.go.kr/files/shelter/2023/05/202306281406542_s.jpg,20230628,주문진읍 향호리 11-14 주문진해변 버스정류장,[고양이] 한국 고양이,고등어,2023(60일미만)(년생),1.2(Kg),강원-강릉-2023-00381,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406542.jpg,보호중,Q,U,허피스 감염 다친상태로 발견,강릉시 동물사랑센터,033-641-7515,강원도 강릉시 성산면 내맬길 172  ,강원특별자치도 강릉시,정희애,033-640-5843
35,442420202300377,http://www.animal.go.kr/files/shelter/2023/05/202306281306782_s.jpg,20230628,연곡면 홍질목길 1,[고양이] 한국 고양이,고등어 색,2023(60일미만)(년생),1.5(Kg),강원-강릉-2023-00380,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306782.jpg,보호중,Q,U,다친 상태로 발견,강릉시 동물사랑센터,033-641-7515,강원도 강릉시 성산면 내맬길 172  ,강원특별자치도 강릉시,정희애,033-640-5843
36,442420202300376,http://www.animal.go.kr/files/shelter/2023/05/202306281306990_s.jpg,20230628,주문진읍 연주로 329 광신모터스,[고양이] 한국 고양이,검흰,2023(60일미만)(년생),1.2(Kg),강원-강릉-2023-00379,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306990.jpg,보호중,Q,N,허피스 감염,강릉시 동물사랑센터,033-641-7515,강원도 강릉시 성산면 내맬길 172  ,강원특별자치도 강릉시,정희애,033-640-5843
37,442420202300375,http://www.animal.go.kr/files/shelter/2023/05/202306281306924_s.jpg,20230628,주문잔읍 연주로 329 광신모터스,[고양이] 한국 고양이,검은색,2023(년생),1.5(Kg),강원-강릉-2023-00378,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306924.jpg,보호중,F,N,허피스 감염,강릉시 동물사랑센터,033-641-7515,강원도 강릉시 성산면 내맬길 172  ,강원특별자치도 강릉시,정희애,033-640-5843
38,441553202302030,http://www.animal.go.kr/files/shelter/2023/05/202306280906755_s.jpg,20230628,팔탄면 창곡리 981-21,[개] 믹스견,회색,2023(년생),4(Kg),경기-화성-2023-00737,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306280906755.jpg,보호중,F,N,"조심성은 있지만 손길을 받아줌, 갈색눈",남양동물보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,경기도 화성시,반려가족팀,031-5189-7099
39,441553202302029,http://www.animal.go.kr/files/shelter/2023/05/202306280906380_s.jpg,20230628,팔탄면 창곡리 981-21,[개] 믹스견,회색,2023(년생),4(Kg),경기-화성-2023-00736,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306280906380.jpg,보호중,F,N,"겁이 많음, 갈색눈, 날렵한얼굴형",남양동물보호센터,031-356-2281,경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,경기도 화성시,반려가족팀,031-5189-7099
40,441417202300628,http://www.animal.go.kr/files/shelter/2023/05/202306281006102[1]_s.jpg,20230628,경기도 양평군 양서면 정자골길 43-29,[개] 믹스견,크림색,2021(년생),7(Kg),경기-양평-2023-00209,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281006102[1].jpg,보호중,M,U,경계심이 많음,양평군유기동물보호소,031-770-2337,경기도 양평군 양평읍 농업기술센터길 59-1  ,경기도 양평군,양평군청,031-770-3645
41,441402202300350,http://www.animal.go.kr/files/shelter/2023/05/202306281406996[1]_s.jpg,20230628,대야미동 산 4-10 부근,[개] 믹스견,백,2022(년생),15(Kg),경기-군포-2023-00091,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406996[1].jpg,보호중,M,N,"순함, 낡은 초록 목줄, 마른 편",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) ,경기도 군포시,군포시 동물보호담당,031-390-0311
42,441400202300384,http://www.animal.go.kr/files/shelter/2023/05/202306281306485_s.jpg,20230628,대원로38번길21,[개] 믹스견,갈색,2021(년생),3.8(Kg),경기-오산-2023-00175,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306485.jpg,보호중,M,N,"목줄,목걸이 없음",오산 유기동물보호소,031-372-9325,경기도 오산시 성호대로 36 (오산동) ,경기도 오산시,배진형,031-8036-7643
43,441399202301647,http://www.animal.go.kr/files/shelter/2023/05/202306281406915_s[1].jpg,20230628,진건읍 독정로솔숲길 36-19,[고양이] 믹스묘,고등어,2023(60일미만)(년생),0.1(Kg),경기-남양주-2023-00499,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406915.jpeg,보호중,M,N,생후 20일 전후 고양이 건강상태 및 예후불량,남양주시동물보호센터,031-590-2785,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시,남양주시,031-590-2324
44,441399202301643,http://www.animal.go.kr/files/shelter/2023/05/202306281106948_s.jpg,20230628,조안면 북한강로 301번길 7-4,[고양이] 믹스묘,치즈,2023(60일미만)(년생),0.1(Kg),경기-남양주-2023-00498,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106948.jpeg,보호중,M,N,생후 20일 전후 고양이 건강상태 및 예후불량,남양주시동물보호센터,031-590-2785,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시,남양주시,031-590-2324
45,441399202301642,http://www.animal.go.kr/files/shelter/2023/05/202306281106562_s.jpg,20230628,조안면 북한강로 301번길 7-4,[고양이] 믹스묘,삼색,2023(60일미만)(년생),0.1(Kg),경기-남양주-2023-00497,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106562.jpeg,보호중,F,N,생후 20일 전후 고양이 건강상태 및 예후불량,남양주시동물보호센터,031-590-2785,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시,남양주시,031-590-2324
46,441399202301641,http://www.animal.go.kr/files/shelter/2023/05/20230628110678_s.jpg,20230628,조안면 북한강로 301번길 7-4,[고양이] 믹스묘,검정 흰색,2023(60일미만)(년생),0.1(Kg),경기-남양주-2023-00496,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/20230628110678.jpeg,보호중,M,N,생후 20일 전후 고양이 건강상태 및 예후불량,남양주시동물보호센터,031-590-2785,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시,남양주시,031-590-2324
47,441399202301640,http://www.animal.go.kr/files/shelter/2023/05/202306281106803_s.jpg,20230628,조안면 북한강로 301번길 7-4,[고양이] 믹스묘,삼색,2023(60일미만)(년생),0.1(Kg),경기-남양주-2023-00495,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106803.jpeg,보호중,F,N,생후 20일 전후 고양이 건강상태 및 예후불량,남양주시동물보호센터,031-590-2785,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시,남양주시,031-590-2324
48,441399202301639,http://www.animal.go.kr/files/shelter/2023/05/202306281106523_s.jpg,20230628,조안면 북한강로 301번길 7-4,[고양이] 믹스묘,흰색 검정,2023(60일미만)(년생),0.1(Kg),경기-남양주-2023-00494,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106523.jpeg,보호중,M,N,생후20일 전후 고양이 건강상태 및 예후불량,남양주시동물보호센터,031-590-2785,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시,남양주시,031-590-2324
49,441399202301638,http://www.animal.go.kr/files/shelter/2023/05/202306281106620_s.jpg,20230628,포천삼거리,[개] 도베르만,갈색,2020(년생),26(Kg),경기-남양주-2023-00493,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106620.jpeg,보호중,M,N,잘생기고 늠름한 도베르만 친구,남양주시동물보호센터,031-590-2785,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시,남양주시,031-590-2324
50,441393202301173,http://www.animal.go.kr/files/shelter/2023/05/202306281406748[1]_s.jpg,20230628,월피119안전센터에서 인수,[개] 믹스견,백,2022(년생),16(Kg),경기-안산-2023-00575,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406748[1].jpg,보호중,F,U,"순함, 빨간 목줄",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,경기도 안산시,안산시 농업정책과,031-481-2494
51,441393202301172,http://www.animal.go.kr/files/shelter/2023/05/202306281406376[1]_s.jpg,20230628,팔곡1동 543-16 부근,[개] 믹스견,백,2023(60일미만)(년생),1.5(Kg),경기-안산-2023-00574,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406376[1].jpg,보호중,M,N,"2개월 추정, 공고번호 174번 새끼, 설사",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,경기도 안산시,안산시 농업정책과,031-481-2494
52,441393202301171,http://www.animal.go.kr/files/shelter/2023/05/202306281406270_s.jpg,20230628,팔곡1동 543-16 부근,[개] 믹스견,갈,2023(60일미만)(년생),1.5(Kg),경기-안산-2023-00573,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406270.jpg,보호중,M,N,"2개월 추정, 공고번호 174번 새끼, 설사",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,경기도 안산시,안산시 농업정책과,031-481-2494
53,441393202301170,http://www.animal.go.kr/files/shelter/2023/05/202306281406309_s.jpg,20230628,팔곡1동 543-16 부근,[개] 믹스견,갈,2023(60일미만)(년생),1.5(Kg),경기-안산-2023-00572,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406309.jpg,보호중,M,N,"2개월 추정, 공고번호 174번 새끼, 설사",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,경기도 안산시,안산시 농업정책과,031-481-2494
54,441393202301169,http://www.animal.go.kr/files/shelter/2023/05/202306281406735_s.jpg,20230628,팔곡1동 543-16 부근,[개] 믹스견,갈,2023(60일미만)(년생),1.5(Kg),경기-안산-2023-00571,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406735.jpg,보호중,M,N,"2개월 추정, 공고번호 174번 새끼, 설사",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,경기도 안산시,안산시 농업정책과,031-481-2494
55,441393202301168,http://www.animal.go.kr/files/shelter/2023/05/202306281406200_s.jpg,20230628,팔곡1동 543-16 부근,[개] 믹스견,백,2023(60일미만)(년생),1.5(Kg),경기-안산-2023-00570,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406200.jpg,보호중,M,N,"2개월 추정, 공고번호 174번 새끼, 설사",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,경기도 안산시,안산시 농업정책과,031-481-2494
