,desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
12,448534202300439,http://www.animal.go.kr/files/shelter/2023/05/20230628090688_s.jpg,20230628,사남면 유천마을인근,[개] 진도견,흰색,2016(년생),24(Kg),경남-사천-2023-00244,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/20230628090688.jpg,보호중,F,N,사람을 좋아하고 온순함. 심장사상충양성,사천시 동물보호센터,055-831-3768,경상남도 사천시 용현면 진삼로 902  사천시농업기술센터,경상남도 사천시,강환희,055-831-3768,
13,448533202300349,http://www.animal.go.kr/files/shelter/2023/05/20230628150602_s.jpg,20230628,중앙동 주민센터,[개] 믹스견,"흰색, 갈색",2019(년생),17(Kg),경남-통영-2023-00152,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/20230628150602.jpg,보호중,F,U,4살 추정 ,통영시동물보호센터,055-650-6253,경상남도 통영시 광도면 전두1길 9-8  ,경상남도 통영시,최민정,055-650-6253,
14,448532202300442,http://www.animal.go.kr/files/shelter/2023/05/202306281706201_s.jpg,20230628,자은동 더?아파트 GS25 부근,[개] 믹스견,흰색,2020(년생),25(Kg),경남-창원3-2023-00232,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706201.jpg,보호중,M,N,"목줄및 리드줄 착용(주황색), 사나움",진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,경상남도 창원시 진해구,창원진해구,055-225-5701,
15,448532202300441,http://www.animal.go.kr/files/shelter/2023/05/202306281706325_s.jpg,20230628,경화동 성산빌라 부근,[개] 코카 스파니엘,연갈색,2020(년생),10(Kg),경남-창원3-2023-00231,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706325.jpg,보호중,M,Y,"부정교합, 순하고 얌전하나 남자를 무서워 함",진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,경상남도 창원시 진해구,창원진해구,055-225-5701,
16,448532202300440,http://www.animal.go.kr/files/shelter/2023/05/202306281706255_s[1].jpg,20230628,명동 478 부근,[개] 믹스견,흰색,2023(년생),5(Kg),경남-창원3-2023-00230,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706255.jpg,보호중,F,N,"3개월추정, 성격 발랄, 만지면 장난치는줄 알고 꼬리치면서 도망다님",진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,경상남도 창원시 진해구,창원진해구,055-225-5701,
17,448532202300439,http://www.animal.go.kr/files/shelter/2023/05/202306281706512[1]_s.jpg,20230628,명동 478 부근,[개] 믹스견,연갈색,2023(년생),5(Kg),경남-창원3-2023-00229,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706512[1].jpg,보호중,M,N,"3개월추정, 성격 발랄, 만지면 장난치는줄 알고 꼬리치면서 도망다님",진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,경상남도 창원시 진해구,창원진해구,055-225-5701,
18,448532202300438,http://www.animal.go.kr/files/shelter/2023/05/202306281706732_s.jpg,20230628,용원동 다이소 근처,[개] 믹스견,흰색+갈색,2020(년생),4(Kg),경남-창원3-2023-00228,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706732.jpg,보호중,F,N,"순하고 성격 좋음, 신고자분이 사상충 검사(양성)",진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,경상남도 창원시 진해구,창원진해구,055-225-5701,
19,448528202300896,http://www.animal.go.kr/files/shelter/2023/05/202306281106292_s.jpg,20230628,봉암수원지 입구 주변,[개] 믹스견,연갈색+흰색,2022(년생),20(Kg),경남-창원2-2023-00212,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106292.jpg,보호중,F,U,"목줄착용+ 쇠리드줄착용, 놀래서 경계심 좀 있음, 신고자가 키웠다고함",마산유기동물보호소,055-225-5701,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도 창원시 마산합포회원구,창원시마산합포회원구,055-225-5701,
20,448528202300895,http://www.animal.go.kr/files/shelter/2023/05/20230628100672_s.jpg,20230628,양덕남 1길 45 주변,[개] 믹스견,검정,2021(년생),15(Kg),경남-창원2-2023-00211,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/20230628100672.jpg,종료(반환),F,U,"빨간목줄착용, 순함, 내장칩있음 이름: 베리",마산유기동물보호소,055-225-5701,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도 창원시 마산합포회원구,창원시마산합포회원구,055-225-5701,
21,447519202300170,http://www.animal.go.kr/files/shelter/2023/05/202306281706512_s.jpg,20230628,화양남산골,[개] 프렌치 불독,갈색,2015(년생),15(Kg),경북-청도-2023-00169,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706512.jpg,보호중,F,U,해외등록동물/프렌치불독으로추정,청도군동물보호소,054-370-6557,경상북도 청도군 화양읍 청화3길 10  청도군 농업기술센터,경상북도 청도군,청도군,054-370-6558,
22,447518202300148,http://www.animal.go.kr/files/shelter/2023/05/202306281706877_s.jpg,20230628,경북 영덕군 남정면 회리길 332,[개] 믹스견,흰색,2019(년생),8(Kg),경북-영덕-2023-00128,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706877.jpg,보호중,F,N,온순함,영덕유기동물보호센터,054-730-6286,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,경상북도 영덕군,최부학,054-730-6286,
23,447515202300086,http://www.animal.go.kr/files/shelter/2023/05/202306281506378_s.jpg,20230628,봉양면 사부리 728,[개] 믹스견,흰색,2023(60일미만)(년생),4(Kg),경북-의성-2023-00086,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281506378.jpg,보호중,F,N,온순,의성동물보호센터,010-8855-5661,경상북도 의성군 의성읍 의성사곡로 101  상리리 440-2,경상북도 의성군,장일영 장성수,054-830-6616,
24,447515202300085,http://www.animal.go.kr/files/shelter/2023/05/202306281506128_s.jpg,20230628,금성면 초전1길 45-8,[개] 믹스견,갈색,2021(년생),6(Kg),경북-의성-2023-00085,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281506128.jpg,보호중,F,N,경계심이 있음,의성동물보호센터,010-8855-5661,경상북도 의성군 의성읍 의성사곡로 101  상리리 440-2,경상북도 의성군,장일영 장성수,054-830-6616,
25,447513202300842,http://www.animal.go.kr/files/shelter/2023/05/202306280006355_s.jpg,20230628,남산 조곡리,[개] 믹스견,"흰색, 크림색",2023(60일미만)(년생),1.52(Kg),경북-경산-2023-00393,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306280006355.jpg,보호중,M,N,"생후50일령 추정, 우사 안으로 들어온 상황에서 구조 ",경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면) ,경상북도 경산시,김홍근,053-810-6744,
26,447513202300841,http://www.animal.go.kr/files/shelter/2023/05/20230628000600_s.jpg,20230628,압량 신촌리,[개] 포메라니안,"흰색, 크림색",2022(년생),3.28(Kg),경북-경산-2023-00392,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/20230628000600.jpg,보호중,F,N,공장 인근에서 배회하여 구조,경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면) ,경상북도 경산시,김홍근,053-810-6744,
27,447512202300428,http://www.animal.go.kr/files/shelter/2023/05/202306280906212_s.jpg,20230628,호계 지천,[개] 믹스견,흰색,2023(60일미만)(년생),3(Kg),경북-문경-2023-00213,20230628,20230731,http://www.animal.go.kr/files/shelter/2023/05/202306280906212.jpg,보호중,M,N,들개 강아지,종합축산,054-552-2233,경상북도 문경시 중앙로 170 (흥덕동) 종합축산,경상북도 문경시,문경시 유통축산과,054-550-6282,
28,447508202300767,http://www.animal.go.kr/files/shelter/2023/05/202306281106250_s.jpg,20230628,옥관 문정자길 127,[개] 믹스견,흑 갈색,2019(년생),8.2(Kg),경북-구미-2023-00252,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106250.jpg,보호중,M,N,온순하고 잘따름,구미시 동물보호센터,054-471-5718,경상북도 구미시 해평면 낙동대로 2206  ,경상북도 구미시,백창훈,054-480-5844,
29,447508202300766,http://www.animal.go.kr/files/shelter/2023/05/202306281106704[1]_s.jpg,20230628,봉곡로 91,[개] 시츄,흑 갈색,2018(년생),5(Kg),경북-구미-2023-00251,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106704[1].jpg,종료(반환),F,U,온순하고 잘따름,구미시 동물보호센터,054-471-5718,경상북도 구미시 해평면 낙동대로 2206  ,경상북도 구미시,백창훈,054-480-5844,
30,447508202300765,http://www.animal.go.kr/files/shelter/2023/05/202306281106775_s.jpg,20230628,봉곡동 426-7,[개] 시츄,흑 갈색,2013(년생),2.2(Kg),경북-구미-2023-00250,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106775.jpg,종료(반환),F,U,온순하고 잘따름,구미시 동물보호센터,054-471-5718,경상북도 구미시 해평면 낙동대로 2206  ,경상북도 구미시,백창훈,054-480-5844,
31,447506202300201,http://www.animal.go.kr/files/shelter/2023/05/202306281706391_s.jpg,20230628,남김천대로2060,[개] 믹스견,흰색,2022(년생),7.5(Kg),경북-김천-2023-00201,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706391.jpg,보호중,F,N,"온순하고,친화적인성격",김천시 동물보호센터,010-3477-7771,경상북도 김천시 조마로 2128 (양천동) ,경상북도 김천시,김천시 신동우,054-421-2518,
32,447506202300200,http://www.animal.go.kr/files/shelter/2023/05/202306281706473_s.jpg,20230628,한신아파트,[고양이] 한국 고양이,회색,2023(년생),0.5(Kg),경북-김천-2023-00200,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706473.jpg,보호중,M,N,"탈수,허피스감염증상 ",김천시 동물보호센터,010-3477-7771,경상북도 김천시 조마로 2128 (양천동) ,경상북도 김천시,김천시 신동우,054-421-2518,
33,447505202300656,http://www.animal.go.kr/files/shelter/2023/05/202306281506998_s.jpg,20230628,경주시 안강읍 안강시장길6 부근,[개] 믹스견,"흰색,갈색 ",2023(년생),0.7(Kg),경북-경주-2023-00655,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281506998.jpg,보호중,F,N,공고번호 299번의 자견.토실토실 귀염둥이 공주님. 아직은 겁쟁이에요. 평생 함께 할 엄빠를 모집합니다!,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,경주시,054-760-2883,
34,447505202300655,http://www.animal.go.kr/files/shelter/2023/05/202306281506326_s.jpg,20230628,경주시 안강읍 안강시장길6 부근,[개] 믹스견,"흰색,갈색 ",2023(년생),1.3(Kg),경북-경주-2023-00654,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281506326.jpg,보호중,M,N,공고번호 299번의 자견.토실토실 귀염둥이 왕자님.아직은 겁쟁이에요. 평생 함께 할 엄빠를 모집합니다!,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,경주시,054-760-2883,
35,447505202300654,http://www.animal.go.kr/files/shelter/2023/05/202306281406367[1]_s.jpg,20230628,경주시 건천읍 천포방내길 18 부근 ,[고양이] 한국 고양이,삼색이 ,2023(년생),0.42(Kg),경북-경주-2023-00653,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406367[1].jpg,보호중,F,N,뒷다리 부상. 기력 없음. 예후 안좋음 ,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,경주시,054-760-2883,
36,447505202300653,http://www.animal.go.kr/files/shelter/2023/05/202306281106660_s.jpg,20230628,경주 남산동 920-1 부근,[개] 진도견,흰색,2020(년생),20(Kg),경북-경주-2023-00652,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106660.jpg,보호중,M,N,발견당시 진드기가상당히보임 성격이까칠하여 다가가기힘듦,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,경주시,054-760-2883,
37,447505202300652,http://www.animal.go.kr/files/shelter/2023/05/202306281106461_s.jpg,20230628,경주시 충효중앙길67 부근 ,[고양이] 한국 고양이,삼색이 ,2023(년생),0.7(Kg),경북-경주-2023-00651,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106461.jpg,보호중,F,N,뒷다리 이상있음. 기운 없는 듯 보임. ,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,경주시,054-760-2883,
38,447505202300651,http://www.animal.go.kr/files/shelter/2023/05/202306281306880[1]_s.jpg,20230628,경주시 현곡면 금장5길 34 부근 ,[개] 믹스견,갈색 ,2019(년생),9(Kg),경북-경주-2023-00650,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306880[1].jpg,보호중,F,U,해맑은 미소의 귀염상 댕댕이. 매력적인 귀털이 포인트!,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,경주시,054-760-2883,
39,446496202300255,http://www.animal.go.kr/files/shelter/2023/05/202306280606114_s.jpg,20230628,엄다면 수호리송정마을회관,[개] 믹스견,흰색,2022(년생),4.00(Kg),전남-함평-2023-00253,20230628,20230712,http://www.animal.go.kr/files/shelter/2023/05/202306280606114.jpg,보호중,M,U,순함,학교동물임시보호센터,010-5649-3435,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,전라남도 함평군,함평군,061-320-1936,
40,446496202300254,http://www.animal.go.kr/files/shelter/2023/05/202306280606500_s.jpg,20230628,대동면 매동길 134-15,[개] 믹스견,흰색,2022(년생),8.00(Kg),전남-함평-2023-00252,20230628,20230712,http://www.animal.go.kr/files/shelter/2023/05/202306280606500.jpg,보호중,F,U,순함,학교동물임시보호센터,010-5649-3435,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,전라남도 함평군,함평군,061-320-1936,
41,446486202300119,http://www.animal.go.kr/files/shelter/2023/05/202306281306424_s.jpg,20230628,목사동면,[개] 믹스견,흰검색,2021(년생),8(Kg),전남-곡성-2023-00090,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306424.jpg,보호중,F,U,배 쪽으로 털이 많이 없고 마른 상태,푸른곡성21동물보호소,061-360-8372,전라남도 곡성군 곡성읍 군청로 50  보호소 주소 : 전남 곡성군 곡성읍 구원리 888,전라남도 곡성군,곡성군,061-360-8372,
42,446486202300118,http://www.animal.go.kr/files/shelter/2023/05/202306281306941_s.jpg,20230628,곡성읍,[개] 믹스견,흰색,2021(년생),10(Kg),전남-곡성-2023-00089,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306941.jpg,종료(반환),M,Y,주인반환예정,푸른곡성21동물보호소,061-360-8372,전라남도 곡성군 곡성읍 군청로 50  보호소 주소 : 전남 곡성군 곡성읍 구원리 888,전라남도 곡성군,곡성군,061-360-8372,
43,446482202300583,http://www.animal.go.kr/files/shelter/2023/05/202306281306378_s.jpg,20230628,연향소방서,[개] 웰시 코기 카디건,흰갈색,2020(년생),15.2(Kg),전남-순천-2023-00386,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306378.jpg,보호중,F,N,"종합백신접종,코로나장염접종,광견병접종,데피니트,스팟라인,사상충-음성",순천시유기동물보호소,061-749-8793,"전라남도 순천시 승주읍 승주로 628 (승주읍, 농업기술센터) 순천시유기동물보호소",전라남도 순천시,순천시,061-749-3094,
44,446481202300345,http://www.animal.go.kr/files/shelter/2023/05/202306281406488[1]_s.jpg,20230628,둔덕2길 6-3,[개] 포메라니안,아이보리색,2018(년생),4.9(Kg),전남-여수-2023-00329,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281406488[1].jpg,종료(반환),M,N,노견 추정. 견주 확인 됨.,유기동물보호소,061-659-2474,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",전라남도 여수시,반려동물팀,061-659-2474,
45,445467202301179,http://www.animal.go.kr/files/shelter/2023/05/202306281706241_s[1].jpg,20230628,외항로 25,[개] 믹스견,흰색,2023(년생),5(Kg),전북-군산-2023-00665,20230628,20230712,http://www.animal.go.kr/files/shelter/2023/05/202306281706241.jpg,보호중,F,N,생후 4개월 추정 / 피부상태가 안좋음,군산유기동물보호센터,063-451-2975,전라북도 군산시 대야면 보덕안정길 108-20  ,전라북도 군산시,박상빈,063-454-5913,
46,445467202301178,http://www.animal.go.kr/files/shelter/2023/05/202306281706796_s.jpg,20230628,외항로 25,[개] 믹스견,흰색,2023(년생),5(Kg),전북-군산-2023-00664,20230628,20230712,http://www.animal.go.kr/files/shelter/2023/05/202306281706796.jpg,보호중,M,N,생후 4개월 추정 / 피부상태가 안좋음,군산유기동물보호센터,063-451-2975,전라북도 군산시 대야면 보덕안정길 108-20  ,전라북도 군산시,박상빈,063-454-5913,
47,445467202301177,http://www.animal.go.kr/files/shelter/2023/05/202306281706285_s.jpg,20230628,외항로 25,[개] 믹스견,외항로 25,2023(년생),5(Kg),전북-군산-2023-00663,20230628,20230712,http://www.animal.go.kr/files/shelter/2023/05/202306281706285.jpg,보호중,F,N,생후 4개월 추정 / 피부상태가 안좋음,군산유기동물보호센터,063-451-2975,전라북도 군산시 대야면 보덕안정길 108-20  ,전라북도 군산시,박상빈,063-454-5913,
48,445467202301176,http://www.animal.go.kr/files/shelter/2023/05/202306281706558_s.jpg,20230628,외항로 25,[개] 믹스견,흰색,2021(년생),12(Kg),전북-군산-2023-00662,20230628,20230712,http://www.animal.go.kr/files/shelter/2023/05/202306281706558.jpg,보호중,F,N,경계심 있음,군산유기동물보호센터,063-451-2975,전라북도 군산시 대야면 보덕안정길 108-20  ,전라북도 군산시,박상빈,063-454-5913,
49,445467202301175,http://www.animal.go.kr/files/shelter/2023/05/202306281706113_s.jpg,20230628,외항로 25,[개] 믹스견,흰갈색,2022(년생),10(Kg),전북-군산-2023-00661,20230628,20230712,http://www.animal.go.kr/files/shelter/2023/05/202306281706113.jpg,보호중,F,N,경계심 있음,군산유기동물보호센터,063-451-2975,전라북도 군산시 대야면 보덕안정길 108-20  ,전라북도 군산시,박상빈,063-454-5913,
50,445464202302420,http://www.animal.go.kr/files/shelter/2023/05/20230628160667_s.jpg,20230628,전주천동로364,[개] 믹스견,흰색갈색,2021(년생),11(Kg),전북-전주-2023-00867,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/20230628160667.jpg,보호중,M,N,빨간목줄착용,동부동물병원,063-231-2455,전라북도 전주시 완산구 경원동1가 3-10,전라북도 전주시,김민석,063-281-5277,
51,445464202302418,http://www.animal.go.kr/files/shelter/2023/05/202306281306581_s.jpg,20230628,서부119 안전센터,[개] 웰시 코기 펨브로크,황색,2018(년생),18(Kg),전북-전주-2023-00866,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306281306581.jpg,종료(반환),F,N,내장칩있음,효자동물병원,063-224-6672,전라북도 전주시 완산구 백제대로 121 (효자동1가) ,전라북도 전주시,김민석,063-281-5277,
52,445464202302417,http://www.animal.go.kr/files/shelter/2023/05/202306281006516_s.jpg,20230628,고덕1길18,[고양이] 한국 고양이,치즈색,2023(60일미만)(년생),0.8(Kg),전북-전주-2023-00865,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306281006516.jpg,보호중,M,N,비맞고 울고있슴,동부동물병원,063-231-2455,전라북도 전주시 완산구 경원동1가 3-10,전라북도 전주시,김민석,063-281-5277,
53,445464202302416,http://www.animal.go.kr/files/shelter/2023/05/202306281006800_s.jpg,20230628,맥도날드덕진점주차장,[개] 시츄,흰색갈색,2013(년생),6(Kg),전북-전주-2023-00864,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306281006800.jpg,보호중,M,Y,얼굴쪽 예민하고 착색됨,동부동물병원,063-231-2455,전라북도 전주시 완산구 경원동1가 3-10,전라북도 전주시,김민석,063-281-5277,
54,445464202302415,http://www.animal.go.kr/files/shelter/2023/05/202306281006826_s.jpg,20230628,서신성원아파트주차장,[개] 토이 푸들,살구색,2012(년생),5(Kg),전북-전주-2023-00863,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306281006826.jpg,종료(반환),M,Y,온순함,동부동물병원,063-231-2455,전라북도 전주시 완산구 경원동1가 3-10,전라북도 전주시,김민석,063-281-5277,
55,444568202300556,http://www.animal.go.kr/files/shelter/2023/05/202306281106498_s.jpg,20230628,당진시 송산면 송산로 911,[개] 포메라니안,흰색,2022(년생),4.00(Kg),충남-당진-2023-00271,20230628,20230707,http://www.animal.go.kr/files/shelter/2023/05/202306281106498.jpg,보호중,F,U,"겁이많음,털 약간 엉켜있음",당진시동물보호소,041-356-8210,충청남도 당진시 고대면 연동로 30-6 (고대면) ,충청남도 당진시,당진시,041-350-4232,
